Valence,Arousal,FNO,FPS,X-axis
-0.24964,-0.06773,609,20,30.45
-0.2411,-0.06393,610,20,30.5
-0.28007,-0.05919,611,20,30.55
-0.29757,-0.07386,612,20,30.6
-0.29725,-0.08566,613,20,30.65
-0.27195,-0.04913,614,20,30.7
-0.25991,-0.06393,615,20,30.75
-0.24597,-0.09177,616,20,30.8
-0.29224,-0.10541,617,20,30.85
-0.30658,-0.11205,618,20,30.9
-0.3302,-0.08802,619,20,30.95
-0.25308,-0.05928,620,20,31.0
-0.25808,-0.0673,621,20,31.05
-0.25171,-0.04476,622,20,31.1
-0.25921,-0.06055,623,20,31.15
-0.22875,0.01184,624,20,31.2
-0.24777,-0.01721,625,20,31.25
-0.26154,-0.00952,626,20,31.3
-0.27569,0.0182,627,20,31.35
-0.33557,0.09637,628,20,31.4
-0.31446,0.07971,629,20,31.45
-0.24893,-0.00462,630,20,31.5
-0.26361,0.02832,631,20,31.55
-0.27207,0.0376,632,20,31.6
-0.27078,0.03295,633,20,31.65
-0.29229,0.06225,634,20,31.7
-0.27257,0.02015,635,20,31.75
-0.26935,-0.00316,636,20,31.8
-0.25065,-0.03446,637,20,31.85
-0.24882,-0.04305,638,20,31.9
-0.2546,-0.05398,639,20,31.95
-0.24789,-0.06123,640,20,32.0
-0.30891,0.06368,641,20,32.05
-0.28558,0.08437,642,20,32.1
-0.28258,0.16487,643,20,32.15
-0.28146,0.14569,644,20,32.2
-0.27575,0.11033,645,20,32.25
-0.19444,0.03595,646,20,32.3
-0.20186,0.028,647,20,32.35
-0.21977,-0.00501,648,20,32.4
-0.25688,0.07591,649,20,32.45
-0.24104,0.06155,650,20,32.5
-0.24652,0.05095,651,20,32.55
-0.19732,0.01989,652,20,32.6
-0.20703,0.01526,653,20,32.65
-0.21078,0.0017,654,20,32.7
-0.21883,0.01595,655,20,32.75
-0.20501,0.0113,656,20,32.8
-0.21465,-0.01432,657,20,32.85
-0.27549,0.06889,658,20,32.9
-0.22969,0.03307,659,20,32.95
-0.24446,0.03927,660,20,33.0
-0.26282,0.07789,661,20,33.05
-0.25326,0.06809,662,20,33.1
-0.27226,0.06055,663,20,33.15
-0.24971,0.02407,664,20,33.2
-0.2605,0.0656,665,20,33.25
-0.26913,0.08926,666,20,33.3
-0.21345,0.03624,667,20,33.35
-0.25759,0.07209,668,20,33.4
-0.26282,0.13381,669,20,33.45
-0.27823,0.11658,670,20,33.5
-0.2477,0.08707,671,20,33.55
-0.2701,0.11948,672,20,33.6
-0.26638,0.14331,673,20,33.65
-0.22337,0.09039,674,20,33.7
-0.23677,0.07321,675,20,33.75
-0.28783,0.11273,676,20,33.8
-0.28007,0.12135,677,20,33.85
-0.27967,0.08932,678,20,33.9
-0.25944,0.12928,679,20,33.95
-0.22607,0.09055,680,20,34.0
-0.25699,0.10907,681,20,34.05
-0.25575,0.07646,682,20,34.1
-0.24491,0.07104,683,20,34.15
-0.25607,0.06513,684,20,34.2
-0.24,0.06519,685,20,34.25
-0.26291,0.0431,686,20,34.3
-0.25427,-0.00212,687,20,34.35
-0.22474,-0.04545,688,20,34.4
-0.23788,0.03424,689,20,34.45
-0.25817,0.07812,690,20,34.5
-0.24709,0.1063,691,20,34.55
-0.23469,0.04887,692,20,34.6
-0.23473,0.04966,693,20,34.65
-0.22124,0.05819,694,20,34.7
-0.26906,0.10989,695,20,34.75
-0.23744,0.07957,696,20,34.8
-0.23657,0.06162,697,20,34.85
-0.257,0.06625,698,20,34.9
-0.24544,0.06686,699,20,34.95
-0.26757,0.10848,700,20,35.0
-0.24932,0.08388,701,20,35.05
-0.24455,0.0763,702,20,35.1
-0.26223,0.10195,703,20,35.15
-0.2585,0.12025,704,20,35.2
-0.27298,0.13154,705,20,35.25
-0.23151,0.06541,706,20,35.3
-0.23373,0.05384,707,20,35.35
-0.21169,0.03983,708,20,35.4
-0.19635,0.05033,709,20,35.45
-0.20773,0.0679,710,20,35.5
-0.23252,0.06231,711,20,35.55
-0.2333,0.0549,712,20,35.6
-0.255,0.07739,713,20,35.65
-0.23451,0.04474,714,20,35.7
-0.20449,0.05083,715,20,35.75
-0.25779,0.0715,716,20,35.8
-0.18869,0.02744,717,20,35.85
-0.17886,0.03479,718,20,35.9
-0.21136,0.0856,719,20,35.95
-0.19426,0.06972,720,20,36.0
